name,image_url
Lake Naivasha,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Naivasha_lake.jpg/960px-Naivasha_lake.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Kakamega Forest,https://upload.wikimedia.org/wikipedia/commons/8/8f/Kakamega_forest_view.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
Lake Nakuru National Park,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Lake-Nakuru-Baboon-Hill-View.JPG/960px-Lake-Nakuru-Baboon-Hill-View.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Kinangop Plateau,
Kerio Valley,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Facing_kerio_valley_from_anin.jpg/960px-Facing_kerio_valley_from_anin.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Arabuko-Sokoke Forest,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/The_road_in_Arabuko_Sokoke_Forest_-_panoramio.jpg/960px-The_road_in_Arabuko_Sokoke_Forest_-_panoramio.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Mount Kenya Forest,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Naro_Moru_Gate%2C_Mount_Kenya_National_Park.jpg/960px-Naro_Moru_Gate%2C_Mount_Kenya_National_Park.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
